Date,MaxT,MinT,Pcpn,Snow,Snwg
9/9/2015,105,77,0,M,M
9/10/2015,99,79,0,M,M
9/11/2015,99,77,0,M,M
9/12/2015,92,75,T,M,M
9/13/2015,95,69,0,M,M
9/14/2015,86,68,0,M,M
9/15/2015,80,67,1.02,M,M
9/16/2015,79,64,0,M,M
9/17/2015,85,61,0,M,M
9/18/2015,95,61,0,M,M
9/19/2015,99,66,0,M,M
9/20/2015,104,69,T,M,M
9/21/2015,92,71,0,M,M
9/22/2015,87,69,0,M,M
9/23/2015,92,67,T,M,M
9/24/2015,100,67,M,M,M
9/25/2015,100,70,T,M,M
9/26/2015,99,71,T,M,M
9/27/2015,95,66,T,M,M
9/28/2015,93,67,M,M,M
9/29/2015,91,61,0,M,M
9/30/2015,92,65,0,M,M
10/1/2015,87,65,0,M,M
10/2/2015,87,67,0,M,M
10/3/2015,84,62,0,M,M
10/4/2015,71,61,0.03,M,M
10/5/2015,77,58,0.02,M,M
10/6/2015,81,59,0,M,M
10/7/2015,90,60,0,M,M
10/8/2015,100,63,0,M,M
10/9/2015,104,69,0,M,M
10/10/2015,98,69,0,M,M
10/11/2015,100,68,0,M,M
10/12/2015,95,69,0,M,M
10/13/2015,92,75,0,M,M
10/14/2015,91,71,0,M,M
10/15/2015,84,69,0,M,M
10/16/2015,80,68,0,M,M
10/17/2015,85,67,0,M,M
10/18/2015,80,65,T,M,M
10/19/2015,79,63,0.02,M,M
10/20/2015,86,58,0,M,M
10/21/2015,88,63,0,M,M
10/22/2015,81,56,0,M,M
10/23/2015,90,58,0,M,M
10/24/2015,91,58,0,M,M
10/25/2015,87,62,0,M,M
10/26/2015,93,56,0,M,M
10/27/2015,84,56,0,M,M
10/28/2015,86,63,0,M,M
10/29/2015,80,66,0,M,M
10/30/2015,86,66,0,M,M
10/31/2015,90,61,0,M,M
11/1/2015,89,54,0,M,M
11/2/2015,74,55,0.01,M,M
11/3/2015,68,48,T,M,M
11/4/2015,66,44,0,M,M
11/5/2015,71,47,0,M,M
11/6/2015,76,57,0,M,M
